Class	Experimental	Recalibrated	Theoretical	Error (ppm)	Mol. Formula	Intensity
N	504,269647	NaN	504,269672	0,049576648	C38H35N		1082,072021
N	504,363612	NaN	504,363572	-0,079307869	C37H47N		6361,056641
N	504,457612	NaN	504,457472	-0,277525872	C36H59N		550,866211
N	506,285218	NaN	506,285323	0,207392937	C38H37N		1382,598511
N	506,379159	NaN	506,379222	0,124412688	C37H49N		4886,001953
N	506,473135	NaN	506,473122	-0,0256677	C36H61N		630,41687
N	508,300926	NaN	508,300973	0,092464903	C38H39N		1796,483643
N	508,394834	NaN	508,394872	0,07474505	C37H51N		7620,609375
N	510,316581	NaN	510,316622	0,080342278	C38H41N		2446,503906
N	510,410446	NaN	510,410522	0,148899752	C37H53N		10754,04102
N	512,332388	NaN	512,332273	-0,224463705	C38H43N		3114,316162
N	512,426201	NaN	512,426173	-0,054642018	C37H55N		3723,935303
N	514,254042	NaN	514,254023	-0,036946721	C39H33N		464,732239
N	514,347759	NaN	514,347922	0,316906112	C38H45N		3199,615479
N	514,441911	NaN	514,441823	-0,171059187	C37H57N		5930,482422
N	516,269657	NaN	516,269672	0,029054583	C39H35N		724,781494
N	516,363706	NaN	516,363573	-0,257570454	C38H47N		4267,76416
N	516,457386	NaN	516,457472	0,166519035	C37H59N		8321,180664
N	518,285272	NaN	518,285323	0,098401397	C39H37N		985,736084
N	518,379243	NaN	518,379222	-0,040510883	C38H49N		6211,041016
N	518,473249	NaN	518,473123	-0,243021276	C37H61N		502,677277
N	520,30111	NaN	520,300973	-0,263309137	C39H39N		1328,365845
N	520,394994	NaN	520,394873	-0,232515742	C38H51N		4501,911621
N	520,488912	NaN	520,488772	-0,268977944	C37H63N		577,858765
N	522,31658	NaN	522,316622	0,080410996	C39H41N		1594,304077
N	522,410367	NaN	522,410522	0,296701528	C38H53N		6818,833984
N	524,332323	NaN	524,332273	-0,095359379	C39H43N		2365,504639
N	524,426418	NaN	524,426173	-0,467177293	C38H55N		9358,711914
N	526,347743	NaN	526,347922	0,340079238	C39H45N		2959,089111
N	526,441724	NaN	526,441822	0,186155423	C38H57N		3602,700195
N	528,269676	NaN	528,269672	-0,00757189	C40H35N		478,840027
N	528,363499	NaN	528,363573	0,140055075	C39H47N		3270,021973
N	528,457356	NaN	528,457472	0,219506784	C38H59N		5729,582031
N	530,285305	NaN	530,285323	0,03394399	C40H37N		561,630859
N	530,37942	NaN	530,379222	-0,373317792	C39H49N		4056,770752
N	530,473142	NaN	530,473122	-0,037702193	C38H61N		7658,138184
N	532,30093	NaN	532,300972	0,07890273	C40H39N		1022,059814
N	532,394903	NaN	532,394873	-0,056349153	C39H51N		5884,649414
N	532,488909	NaN	532,488772	-0,25728242	C38H63N		612,232605
N	534,316805	NaN	534,316622	-0,342493556	C40H41N		1370,134521
N	534,410627	NaN	534,410522	-0,196478167	C39H53N		4562,695313
N	534,504481	NaN	534,504422	-0,110382623	C38H65N		567,189148
N	536,332327	NaN	536,332272	-0,102548369	C40H43N		1689,835205
N	536,426422	NaN	536,426173	-0,464183167	C39H55N		6460,600098
N	536,520114	NaN	536,520072	-0,078282253	C38H67N		442,017365
N	538,347753	NaN	538,347922	0,313923381	C40H45N		2242,838867
N	538,441678	NaN	538,441822	0,267438364	C39H57N		8706,496094
N	540,363792	NaN	540,363573	-0,405282686	C40H47N		2625,781982
N	540,457538	NaN	540,457472	-0,122118767	C39H59N		3475,186279
N	542,285429	NaN	542,285323	-0,195469056	C41H37N		526,522522
N	542,379398	NaN	542,379222	-0,324496206	C40H49N		2756,30542
N	542,472953	NaN	542,473122	0,311536172	C39H61N		5644,621094
N	544,301068	NaN	544,300972	-0,176373009	C41H39N		623,392151
N	544,394839	NaN	544,394873	0,062454666	C40H51N		3990,985352
N	544,488642	NaN	544,488772	0,238756071	C39H63N		6925,300781
N	546,316832	NaN	546,316622	-0,384392478	C41H41N		826,703186
N	546,410395	NaN	546,410522	0,232425978	C40H53N		5197,79834
N	546,504442	NaN	546,504422	-0,036596227	C39H65N		485,483185
N	548,332104	NaN	548,332272	0,306383572	C41H43N		1082,605835
N	548,426358	NaN	548,426173	-0,337328904	C40H55N		4271,466797
N	548,520189	NaN	548,520072	-0,213301219	C39H67N		496,787811
N	550,348081	NaN	550,347922	-0,28890815	C41H45N		1533,91626
N	550,441654	NaN	550,441822	0,305209367	C40H57N		6021,521484
N	552,363691	NaN	552,363573	-0,213627411	C41H47N		1859,636597
N	552,457488	NaN	552,457472	-0,028961505	C40H59N		7671,341797
N	554,379228	NaN	554,379222	-0,010822916	C41H49N		2496,198242
N	554,473245	NaN	554,473122	-0,221832214	C40H61N		3158,531738
N	556,300795	NaN	556,300972	0,318173091	C42H39N		524,19751
N	556,394996	NaN	556,394873	-0,22106602	C41H51N		2830,793945
N	556,488761	NaN	556,488772	0,019766796	C40H63N		4823,258301
N	558,316426	NaN	558,316622	0,351055284	C42H41N		667,363892
N	558,410368	NaN	558,410522	0,275782769	C41H53N		3975,813232
N	558,50434	NaN	558,504422	0,146820682	C40H65N		6566,1875
N	560,332456	NaN	560,332272	-0,328376589	C42H43N		838,585449
N	560,426125	NaN	560,426173	0,085649105	C41H55N		5179,873047
N	560,520302	NaN	560,520072	-0,410333209	C40H67N		411,244843
N	562,347774	NaN	562,347922	0,263182265	C42H45N		1315,807007
N	562,44164	NaN	562,441822	0,323589024	C41H57N		4027,256348
N	562,535537	NaN	562,535723	0,330645668	C40H69N		495,186188
N	564,363655	NaN	564,363573	-0,145296408	C42H47N		1569,121094
N	564,457713	NaN	564,457472	-0,42695865	C41H59N		5484,30957
N	564,551319	NaN	564,551372	0,093879853	C40H71N		391,577545
N	566,37947	NaN	566,379222	-0,43786917	C42H49N		1850,68396
N	566,473229	NaN	566,473122	-0,188888044	C41H61N		6634,581055
N	568,39506	NaN	568,394873	-0,328996634	C42H51N		2471,89917
N	568,488998	NaN	568,488772	-0,397545231	C41H63N		2938,490479
N	570,316678	NaN	570,316622	-0,098191071	C43H41N		453,976227
N	570,41076	NaN	570,410522	-0,417243355	C42H53N		3070,161377
N	570,50438	NaN	570,504422	0,073619061	C41H65N		4399,490234
N	572,332167	NaN	572,332272	0,183459863	C43H43N		623,943665
N	572,426419	NaN	572,426173	-0,429749742	C42H55N		3670,74707
N	572,520206	NaN	572,520072	-0,234052929	C41H67N		230,313477
N	574,347967	NaN	574,347922	-0,078349722	C43H45N		929,746277
N	574,441884	NaN	574,441822	-0,10793086	C42H57N		4944,967773
N	574,535833	NaN	574,535723	-0,191458939	C41H69N		494,30545
N	576,363428	NaN	576,363573	0,251577315	C43H47N		1099,626099
N	576,457503	NaN	576,457472	-0,053776734	C42H59N		4052,216553
N	576,551609	NaN	576,551372	-0,411064844	C41H71N		491,224884
N	578,379409	NaN	578,379222	-0,323317285	C43H49N		1509,252808
N	578,47313	NaN	578,473122	-0,01382951	C42H61N		5586,765137
N	580,394749	NaN	580,394873	0,213647649	C43H51N		1784,917358
N	580,488614	NaN	580,488772	0,272184421	C42H63N		6779,171387
N	582,410316	NaN	582,410522	0,353702401	C43H53N		2418,981201
N	582,504321	NaN	582,504422	0,173389242	C42H65N		2701,92041
N	584,332376	NaN	584,332272	-0,177980928	C44H43N		484,739838
N	584,425967	NaN	584,426173	0,352482502	C43H55N		2847,971924
N	584,520106	NaN	584,520072	-0,058167378	C42H67N		4196,786621
N	586,348362	NaN	586,347922	-0,750407707	C44H45N		595,702332
N	586,442079	NaN	586,441822	-0,438236139	C43H57N		3433,76123
N	586,535827	NaN	586,535723	-0,177312303	C42H69N		5372,980957
N	588,363629	NaN	588,363573	-0,095179244	C44H47N		1000,855835
N	588,457468	NaN	588,457472	0,006797433	C43H59N		4678,944824
N	588,551337	NaN	588,551372	0,059468046	C42H71N		418,287811
N	590,379076	NaN	590,379222	0,247298676	C44H49N		1216,101074
N	590,473031	NaN	590,473122	0,154113704	C43H61N		3666,297119
N	590,567016	NaN	590,567023	0,011853015	C42H73N		417,799591
N	592,395093	NaN	592,394873	-0,37137391	C44H51N		1436,669434
N	592,488628	NaN	592,488772	0,243042581	C43H63N		5141,868164
N	594,410481	NaN	594,410522	0,068975899	C44H53N		1694,582397
N	594,504654	NaN	594,504422	-0,390241	C43H65N		5769,701172
N	596,426163	NaN	596,426173	0,016766534	C44H55N		2258,096436
N	596,519898	NaN	596,520072	0,291691777	C43H67N		2464,348633
N	598,348208	NaN	598,347922	-0,477982775	C45H45N		445,163666
N	598,442006	NaN	598,441822	-0,307465142	C44H57N		2643,626465
N	598,535833	NaN	598,535723	-0,183781846	C43H69N		3926,12793
N	600,363442	NaN	600,363573	0,218201113	C45H47N		585,623901
N	600,457327	NaN	600,457472	0,241482548	C44H59N		3243,275879
N	600,551241	NaN	600,551372	0,218132879	C43H71N		4834,861328
N	602,37911	NaN	602,379222	0,185929388	C45H49N		789,638428
N	602,473076	NaN	602,473122	0,076351954	C44H61N		3904,755615
N	604,395083	NaN	604,394873	-0,347454966	C45H51N		1030,18042
N	604,488573	NaN	604,488772	0,329203799	C44H63N		3308,348145
N	604,582645	NaN	604,582672	0,044658905	C43H75N		495,950165
N	606,410675	NaN	606,410522	-0,252304329	C45H53N		1266,669067
N	606,504233	NaN	606,504422	0,3116218	C44H65N		4381,58252
N	608,426303	NaN	608,426173	-0,213666022	C45H55N		1486,814331
N	608,519923	NaN	608,520072	0,244856344	C44H67N		4928,486816
N	610,441833	NaN	610,441822	-0,018019735	C45H57N		1966,493896
N	610,536074	NaN	610,535723	-0,574904935	C44H69N		2489,887939
N	612,457697	NaN	612,457472	-0,367372447	C45H59N		2199,778809
N	612,551426	NaN	612,551372	-0,088155871	C44H71N		3360,272705
N	614,379453	NaN	614,379222	-0,375989278	C46H49N		543,035767
N	614,473199	NaN	614,473122	-0,125310607	C45H61N		2679,580811
N	614,566973	NaN	614,567023	0,081358091	C44H73N		3923,150879
N	616,394987	NaN	616,394873	-0,184946379	C46H51N		810,030762
N	616,488773	NaN	616,488772	-0,00162209	C45H63N		3318,169678
N	618,41047	NaN	618,410522	0,084086538	C46H53N		858,007813
N	618,504291	NaN	618,504422	0,211801234	C45H65N		2817,0979
N	618,598142	NaN	618,598322	0,290980421	C44H77N		398,364441
N	620,426354	NaN	620,426173	-0,291734952	C46H55N		1207,799805
N	620,520205	NaN	620,520072	-0,214336338	C45H67N		3963,304443
N	622,44193	NaN	622,441822	-0,173510192	C46H57N		1535,42688
N	622,535806	NaN	622,535723	-0,133325682	C45H69N		4732,696777
N	624,457656	NaN	624,457472	-0,294655774	C46H59N		1886,214111
N	624,55155	NaN	624,551372	-0,285004578	C45H71N		2039,380981
N	626,473406	NaN	626,473122	-0,4533315	C46H61N		2212,426758
N	626,567312	NaN	626,567023	-0,461243553	C45H73N		2967,80542
N	628,395167	NaN	628,394873	-0,467858687	C47H51N		492,679108
N	628,489053	NaN	628,488772	-0,447104248	C46H63N		2533,520508
