
#Abundancia das classes heteroatomicas
#Intensidade total: 11619373.000000
#Classe	Int. Relativa (%)
26	4302.067383
27	5276.343750
28	5320.776855
29	5845.755371
30	6703.948242
31	6277.728516
32	7663.676270
33	6471.379395
34	6089.138672
35	6659.363770
36	6188.391602
37	6387.552246
38	6798.902344

Distribuicao da quantidade de carbonos no DBE14 da classe O4
Num. C	Intensidade
24	3309.208984
25	0.000000
26	3594.474609
27	4434.618164
28	4735.192871
29	5441.577637
30	5098.456543
31	5517.630371
32	5179.987305
33	5611.167969
34	5353.793457
35	5059.283203
36	4874.864258
37	5726.709473
38	5320.513184
39	0.000000
40	6926.005859

Distribuicao da quantidade de carbonos no DBE15 da classe O4
Num. C	Intensidade
22	1777.846313
23	2033.280029
24	0.000000
25	3086.564209
26	3579.070312
27	0.000000
28	4454.526367
29	0.000000
30	4093.775635
31	4476.305664
32	4643.582031
33	4199.151367
34	4604.205078
35	4554.317383
36	0.000000
37	4108.757812
38	0.000000
39	0.000000
40	5672.470215

Distribuicao da quantidade de carbonos no DBE16 da classe O4
Num. C	Intensidade
25	2583.791016
26	2782.110840
27	3782.341797
28	3869.843018
29	4112.616211
30	4372.138672
31	4262.432129
32	3637.146484
33	4003.530029
34	3737.489014
35	3741.625244
36	3371.648682
37	0.000000
38	4006.572510
39	4516.580078
40	4752.813965

Distribuicao da quantidade de carbonos no DBE17 da classe O4
Num. C	Intensidade
26	2158.515381
27	2401.777832
28	3275.706787
29	3459.093262
30	0.000000
31	3538.424561
32	3347.841064
33	3021.067383
34	3128.683838
35	3055.374023
36	3263.808350
37	0.000000
38	0.000000
39	0.000000
40	3373.398682

Distribuicao da quantidade de carbonos no DBE18 da classe O4
Num. C	Intensidade
27	1904.561646
28	0.000000
29	0.000000
30	2802.710449
31	0.000000
32	0.000000
33	2930.162842
34	0.000000
35	0.000000
36	2403.013184
37	0.000000
38	2544.384766
39	2296.827148
40	0.000000
41	0.000000
42	2372.076904

Distribuicao da quantidade de carbonos no DBE19 da classe O4
Num. C	Intensidade
28	1440.463745
29	1788.962891
30	2311.208740
31	0.000000
32	2077.868408
33	2238.814941
34	0.000000
35	1761.674316
36	0.000000
37	0.000000
38	0.000000
39	1849.380981
40	2240.261719

Distribuicao da quantidade de carbonos no DBE20 da classe O4
Num. C	Intensidade
31	1464.437256
32	0.000000
33	1521.518311
34	0.000000
35	1516.061768
36	0.000000
37	0.000000
38	1519.798096

Distribuicao da quantidade de carbonos no DBE21 da classe O4
Num. C	Intensidade
38	1234.493286


#Abundancia relativa do DBE na Classe Heteroatomica O5
#Intensidade total da classe: 342152.093750
DBE	Int. Relativa (%)
5	2.598883
6	11.176980
7	11.911515
8	14.791362
9	8.709539
10	10.235216
11	10.082257
12	5.621494
13	7.423473
14	5.337959
15	5.224722
16	0.782185
17	2.272216
18	1.713497
19	1.738117
20	0.380589

Distribuicao da quantidade de carbonos no DBE5 da classe O5
Num. C	Intensidade
26	1504.953491
27	2610.057129
28	0.000000
29	0.000000
30	2718.346924
31	2058.775391

Distribuicao da quantidade de carbonos no DBE6 da classe O5
Num. C	Intensidade
24	1660.552368
25	0.000000
26	2498.787842
27	4855.322754
28	8370.428711
29	13842.537109
30	7014.642090

Distribuicao da quantidade de carbonos no DBE7 da classe O5
Num. C	Intensidade
24	1491.197510
25	2143.716797
26	3056.520264
27	5279.855957
28	6972.451172
29	13461.849609
30	8349.906250

Distribuicao da quantidade de carbonos no DBE8 da classe O5
Num. C	Intensidade
26	3023.290283
27	4835.486328
28	7249.885254
29	10347.416016
30	8626.554688
31	7883.781738
32	8642.540039

Distribuicao da quantidade de carbonos no DBE9 da classe O5
Num. C	Intensidade
24	2059.202393
25	2765.232178
26	2928.187500
27	4352.621582
28	5155.473145
29	0.000000
30	6344.653320
31	6194.498535

Distribuicao da quantidade de carbonos no DBE10 da classe O5
Num. C	Intensidade
25	2316.449219
26	3454.208740
27	4271.877441
28	5632.961426
29	6260.912598
30	6314.243652
31	0.000000
32	6769.351074

Distribuicao da quantidade de carbonos no DBE11 da classe O5
Num. C	Intensidade
23	1662.973511
24	0.000000
25	2279.346436
26	2927.188721
27	3413.421387
28	4386.255371
29	4835.019043
30	4945.361328
31	4924.028809
32	5123.062012

Distribuicao da quantidade de carbonos no DBE12 da classe O5
Num. C	Intensidade
25	2719.770264
26	0.000000
27	3461.514648
28	3509.675293
29	4209.647949
30	0.000000
31	0.000000
32	5333.450684

Distribuicao da quantidade de carbonos no DBE13 da classe O5
Num. C	Intensidade
24	1288.868652
25	0.000000
26	3116.125488
27	2872.065186
28	3346.139160
29	3410.179688
30	3662.315674
31	4099.796875
32	0.000000
33	3604.077637

Distribuicao da quantidade de carbonos no DBE14 da classe O5
Num. C	Intensidade
26	2280.578125
27	3019.917725
28	3002.617188
29	3356.680420
30	3202.739990
31	3401.405762

Distribuicao da quantidade de carbonos no DBE15 da classe O5
Num. C	Intensidade
23	1218.402710
24	1518.005493
25	0.000000
26	2192.919434
27	3112.279541
28	3080.633301
29	0.000000
30	0.000000
31	0.000000
32	3548.784668
33	0.000000
34	3205.470215

Distribuicao da quantidade de carbonos no DBE16 da classe O5
Num. C	Intensidade
29	2676.262207

Distribuicao da quantidade de carbonos no DBE17 da classe O5
Num. C	Intensidade
26	1476.652466
27	1770.111816
28	0.000000
29	0.000000
30	0.000000
31	2260.438477
32	0.000000
33	2267.230469

Distribuicao da quantidade de carbonos no DBE18 da classe O5
Num. C	Intensidade
30	1600.270752
31	0.000000
32	2128.442383
33	2134.053955

