
#Abundancia das classes heteroatomicas
#Intensidade total: 7457151.500000
#Classe	Int. Relativa (%)
46	1491.364624
47	1199.056763
48	1307.590088
49	1292.082275
50	995.701294
51	960.510864
52	882.765198
53	0.000000
54	1029.665039
55	795.406311
56	895.148743
57	921.123840
58	777.225403
59	725.720581

Distribuicao da quantidade de carbonos no DBE14 da classe NO
Num. C	Intensidade
27	985.544922
28	904.395081
29	903.514465
30	1008.787720
31	1298.166748
32	1174.970703
33	1438.349365
34	1302.853271
35	1550.074707
36	1489.798584
37	1511.776123
38	1425.545410
39	1452.008301
40	1651.386841
41	1360.867065
42	1458.584473
43	1315.747681
44	1593.012451
45	1344.283447
46	1233.325317
47	1301.470825
48	1354.683350
49	1070.570557
50	1041.653564
51	1249.326416
52	1228.780518
53	1152.459839
54	1274.045044
55	1060.432251
56	849.305725
57	963.121948
58	992.287842
59	729.451538

Distribuicao da quantidade de carbonos no DBE15 da classe NO
Num. C	Intensidade
28	868.647644
29	793.054138
30	1006.235229
31	951.369202
32	1081.011597
33	1232.026733
34	1085.153687
35	1320.778320
36	1028.811646
37	1219.932373
38	1356.783813
39	1282.803833
40	1146.583740
41	1312.070190
42	1361.881714
43	1337.817871
44	1417.389648
45	1180.923706
46	1340.407227
47	991.724243
48	1248.311768
49	1150.590088
50	980.106201
51	1078.270752
52	1065.576416
53	1039.081909
54	936.304688
55	731.189209
56	1018.965576
57	851.564514
58	882.348389

Distribuicao da quantidade de carbonos no DBE16 da classe NO
Num. C	Intensidade
29	841.355835
30	847.379272
31	939.867859
32	1252.990845
33	1170.892822
34	1039.491211
35	1350.020508
36	1159.720093
37	1367.144409
38	1333.100098
39	1231.505615
40	1431.555298
41	1390.040771
42	1233.242554
43	1311.394287
44	1192.244141
45	1251.821899
46	1149.974121
47	970.162048
48	1209.278442
49	1201.699829
50	964.044678
51	1004.004395
52	1159.455688
53	1141.908447
54	945.771362
55	861.852173
56	996.175049
57	801.279175
58	745.074219
59	787.065369

Distribuicao da quantidade de carbonos no DBE17 da classe NO
Num. C	Intensidade
28	795.904419
29	960.618835
30	881.939270
31	963.965088
32	941.922791
33	932.944946
34	1079.036011
35	1352.989624
36	1131.657837
37	1056.330811
38	969.928650
39	1018.579712
40	1229.951904
41	1350.564819
42	1253.369873
43	1073.507324
44	1232.659546
45	1063.448486
46	1072.844360
47	1319.351562
48	1172.136597
49	1145.940796
50	1011.836060
51	897.324219
52	1024.214111
53	1107.667969
54	761.602722
55	828.602722
56	919.157654
57	788.854675
58	810.375305
59	826.038574

Distribuicao da quantidade de carbonos no DBE18 da classe NO
Num. C	Intensidade
28	676.776672
29	663.433044
30	845.625183
31	1098.618164
32	1023.243408
33	1081.528320
34	1027.735718
35	1015.199097
36	984.881836
37	930.330811
38	1136.997070
39	1079.848511
40	1151.838745
41	988.922729
42	1202.367065
43	1014.222656
44	757.792236
45	1004.619141
46	1080.949707
47	1104.749023
48	1134.886719
49	876.178406
50	974.536194
51	976.265747
52	985.923706
53	840.892944
54	894.775208
55	1044.982910
56	822.637878
57	948.936218
58	971.923584
59	846.274353

Distribuicao da quantidade de carbonos no DBE19 da classe NO
Num. C	Intensidade
31	644.892395
32	0.000000
33	0.000000
34	919.556091
35	912.649231
36	774.958679
37	961.293274
38	925.607361
39	854.263428
40	851.286316
41	795.999634
42	862.111206
43	759.589294
44	793.125061
45	660.334839
46	788.902649
47	812.891907
48	1069.055908
49	843.425903
50	945.017273
51	755.264893
52	0.000000
53	701.356689
54	816.538635
55	794.399170
56	703.133301
57	739.974487
58	638.687805
59	679.599243

Distribuicao da quantidade de carbonos no DBE20 da classe NO
Num. C	Intensidade
33	745.045349
34	0.000000
35	0.000000
36	864.439575
37	870.908569
38	708.086670
39	665.061462
40	803.839600
41	703.089966
42	809.099976
43	1014.462646
44	790.459595
45	0.000000
46	663.596802
47	678.435364
48	670.197266
49	670.911865
50	0.000000
51	0.000000
52	0.000000
53	849.826172
54	708.466125
55	0.000000
56	673.948486
57	729.594727

Distribuicao da quantidade de carbonos no DBE21 da classe NO
Num. C	Intensidade
35	658.386719
36	0.000000
37	787.912964
38	0.000000
39	708.883362
40	0.000000
41	0.000000
42	696.325867
43	781.982178
44	0.000000
45	0.000000
46	0.000000
47	684.134949
48	0.000000
49	0.000000
50	676.900513
51	0.000000
52	0.000000
53	0.000000
54	791.472595


#Abundancia relativa do DBE na Classe Heteroatomica NO2
#Intensidade total da classe: 260663.828125
DBE	Int. Relativa (%)
7	5.567690
8	5.934656
9	4.315433
10	11.288882
11	12.620640
12	11.886585
13	11.096972
14	11.066446
15	10.224465
16	7.377581
17	4.999374
18	2.557711
19	1.063560

Distribuicao da quantidade de carbonos no DBE7 da classe NO2
Num. C	Intensidade
30	777.537659
31	672.841553
32	649.595215
33	890.193237
34	1027.651611
35	806.425171
36	952.771667
37	939.500183
38	716.684814
39	912.215454
40	0.000000
41	764.600830
42	915.126953
43	661.492554
44	0.000000
45	736.870605
46	1071.940308
47	666.845032
48	664.643921
49	0.000000
50	686.019592

Distribuicao da quantidade de carbonos no DBE8 da classe NO2
Num. C	Intensidade
30	659.774536
31	804.111328
32	756.906860
33	756.117249
34	0.000000
35	683.519958
36	815.733093
37	805.111023
38	923.787537
39	911.497498
40	730.568115
41	805.239746
42	785.219299
43	927.667908
44	893.382202
45	744.314209
46	718.284546
47	0.000000
48	0.000000
49	0.000000
50	637.476990
51	0.000000
52	0.000000
53	714.874634
54	677.202148
55	0.000000
56	718.711914

Distribuicao da quantidade de carbonos no DBE9 da classe NO2
Num. C	Intensidade
33	825.114197
34	762.486084
35	897.821289
36	828.224976
37	842.018066
38	870.324890
39	826.531494
40	967.513611
41	0.000000
42	0.000000
43	0.000000
44	718.627136
45	643.610291
46	856.039307
47	0.000000
48	0.000000
49	860.535950
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	714.452515
56	0.000000
57	0.000000
58	635.473450

Distribuicao da quantidade de carbonos no DBE10 da classe NO2
