
#Abundancia das classes heteroatomicas
#Intensidade total: 8710929.000000
#Classe	Int. Relativa (%)
25	863.657166
26	857.557190
27	0.000000
28	936.855591
29	838.213806
30	0.000000
31	800.605286

Distribuicao da quantidade de carbonos no DBE17 da classe NO3
Num. C	Intensidade
23	859.540283
24	1152.306152
25	1378.294556
26	1285.962280
27	1261.015503
28	1238.681641
29	1201.527100
30	1207.239502
31	1158.731567
32	1074.409790
33	877.185486
34	876.796204

Distribuicao da quantidade de carbonos no DBE18 da classe NO3
Num. C	Intensidade
23	907.860413
24	1168.804688
25	1773.236450
26	1696.305664
27	1896.531250
28	1844.416504
29	1562.033081
30	1290.653931
31	1245.230713
32	1431.931763
33	1119.118286
34	930.840332
35	0.000000
36	936.873413

Distribuicao da quantidade de carbonos no DBE19 da classe NO3
Num. C	Intensidade
24	1365.936401
25	2448.020020
26	2510.338135
27	2795.395996
28	2571.015137
29	2041.654053
30	1979.059814
31	1804.757080
32	1543.938843
33	1168.275024
34	1252.703003
35	951.485779
36	1041.435669

Distribuicao da quantidade de carbonos no DBE20 da classe NO3
Num. C	Intensidade
26	1517.315796
27	2433.232178
28	3177.472900
29	3243.644287
30	2472.070312
31	2268.084229
32	1906.239136
33	1669.252075
34	1489.773315
35	1276.927124
36	1290.740601
37	1058.115601
38	797.370483
39	828.822571

Distribuicao da quantidade de carbonos no DBE21 da classe NO3
Num. C	Intensidade
27	1650.501099
28	2857.424805
29	3257.299316
30	3418.345947
31	3195.090820
32	2832.348633
33	2066.097412
34	2014.435059
35	1664.681641
36	1405.949341
37	1263.286377
38	805.270752
39	0.000000
40	842.024170
41	817.381226

Distribuicao da quantidade de carbonos no DBE22 da classe NO3
Num. C	Intensidade
28	2006.854492
29	3653.012695
30	3683.786865
31	3587.325439
32	3390.400879
33	2942.483643
34	2170.707031
35	1809.209961
36	1488.187134
37	1221.162598
38	1272.522827
39	980.587402

Distribuicao da quantidade de carbonos no DBE23 da classe NO3
Num. C	Intensidade
29	885.253906
30	1921.478394
31	3218.395752
32	3735.173828
33	3815.900391
34	2814.250977
35	2587.467773
36	2070.847412
37	1751.741089
38	1315.968384
39	1211.082886

Distribuicao da quantidade de carbonos no DBE24 da classe NO3
Num. C	Intensidade
31	1434.439575
32	2357.205811
33	3016.404541
34	3172.296143
35	2766.116699
36	2535.795166
37	2272.892578
38	1648.992554
39	1303.190430
40	979.811157
41	995.236938

Distribuicao da quantidade de carbonos no DBE25 da classe NO3
Num. C	Intensidade
32	1174.930664
33	2008.522949
34	2455.465576
35	2636.389160
36	2533.265381
37	2376.914551
38	1826.150269
39	1570.171021
40	1333.678589
